School,State,Capacity,FPI,Rank,Win,Loss,Win %,GSR,FGR,NFL,Lat,Long
Navy,MD,"34,000",7,40,11,2,0.846,84,,2,38.978443,-76.49218
Nebraska,NE,"86,047",4.5,47,5,7,0.417,76,60,18,40.820744,-96.70047
Nevada,NV,"26,000",-13.9,116,7,6,0.538,71,62,4,39.530895,-119.814972
Nevada-Las Vegas,NV,"65,000",-14,117,4,8,0.333,64,69,1,36.114647,-115.172813
New Mexico,NM,"39,224",-17.3,121,2,10,0.167,58,42,2,35.106766,-106.629181
New Mexico State,NM,"30,343",-22.7,125,2,10,0.167,63,44,1,32.326595,-106.775436
North Carolina,NC,"23,595",8.4,27,7,6,0.538,65,52,10,35.904613,-79.046761
North Carolina State,NC,"57,583",-7.1,92,4,8,0.333,64,57,20,35.787743,-78.644257
North Texas,TX,"30,850",-10.4,109,4,8,0.333,65,62,3,33.21484,-97.133064
Northern Illinois,IL,"51,000",-9.9,107,5,7,0.417,85,67,5,41.92947,-88.75036
Northwestern,IL,"47,130",-2.6,73,3,9,0.250,97,92,7,42.055984,-87.675171
Notre Dame,IN,"77,622",20.9,11,11,2,0.846,93,74,29,41.67016399,-86.25316565
Ohio,OH,"24,000",-3.1,77,7,6,0.538,75,65,2,39.329239,-82.101257
Ohio State,OH,"102,780",33.7,1,13,1,0.929,75,58,50,39.983334,-82.98333
Oklahoma,OK,"86,112",19.9,13,12,2,0.857,51,43,29,35.205894,-97.445717
Oklahoma State,OK,"60,218",8.8,26,8,5,0.615,56,45,11,36.1156,-97.0584
Old Dominion,VA,"22,480",-22.1,124,1,11,0.083,50,,4,36.850769,-76.285873
Oregon,OR,"54,000",21.7,6,12,2,0.857,72,57,13,44.05207,-123.08675
Oregon State,OR,"45,674",0.8,60,5,7,0.417,66,59,10,44.564568,-123.262047
Penn State,PA,"106,572",21.5,7,11,2,0.846,85,72,32,40.798214,-77.859909
Pittsburgh,PA,"68,400",0.3,61,8,5,0.615,68,55,14,40.440624,-79.995888
Purdue,IN,"57,236",0,63,4,8,0.333,64,57,10,40.425869,-86.908066
Rice,TX,"47,000",-15.6,119,3,9,0.250,96,89,8,29.760427,-95.369804
Rutgers,NJ,"52,454",-15.2,118,2,10,0.167,85,66,10,40.4862,-74.4518
San Diego State,CA,"70,561",0.3,62,10,3,0.769,68,66,7,32.774799,-117.071869
San Jose State,CA,"30,456",-9.2,103,5,7,0.417,51,53,3,37.335278,121.891944
South Alabama,AL,"25,450",-19.2,122,2,10,0.167,64,44,1,30.695366,-88.039894
South Carolina,SC,"80,250",6.9,41,4,8,0.333,65,51,24,34.00033333,-81.03983317
South Florida,FL,"65,857",-8,95,4,8,0.333,57,39,6,27.964157,-82.452606
Southern California,CA,"77,500",10.7,23,8,5,0.615,53,44,23,34.0205,-118.2856
Southern Methodist,TX,"32,000",4.5,49,10,3,0.769,75,63,10,32.779167,-96.808891
Southern Mississippi,MS,"36,000",-4.8,86,7,6,0.538,71,59,11,31.32712,-89.290337
Stanford,CA,"50,424",0.9,59,4,8,0.333,93,89,27,37.43,-122.17
Syracuse,NY,"49,250",-1.6,71,5,7,0.417,77,64,7,43.088947,-76.15448
Tennessee,TN,"102,455",7.8,33,8,5,0.615,64,61,19,36.174465,-86.76796
Texas,TX,"100,119",13,20,8,5,0.615,56,57,31,30.28361,-97.73252
Texas A&M,TX,"102,733",13.6,19,8,5,0.615,74,64,27,30.615011,-96.342476
Texas Christian,TX,"45,000",7.3,37,5,7,0.417,85,80,14,32.768799,-97.309341
Texas State,TX,"30,000",-17.3,120,3,9,0.250,64,45,3,29.890661,-97.91153
Texas Tech,TX,"60,862",2,56,4,8,0.333,72,56,13,33.579166,-101.886909
Texas-El Paso,TX,"51,500",-27.1,128,1,11,0.083,66,59,4,31.773088,-106.50573
Texas-San Antonio,TX,"65,000",-19.5,123,4,8,0.333,100,,2,29.424349,-98.491142
Toledo,OH,"26,248",-10.2,108,6,6,0.500,67,60,8,41.651031,-83.541939
Troy,AL,"30,402",-9,101,5,7,0.417,48,43,2,31.8012,-85.967
Tulane,LA,"30,000",2.4,55,7,6,0.538,82,63,3,29.951065,-90.071533
Tulsa,OK,"30,000",-3.6,82,4,8,0.333,75,59,2,36.15398,-95.992775
UCLA,CA,"90,888",0.9,58,4,8,0.333,82,69,25,34.052235,-118.243683
Utah,UT,"47,825",17.6,14,11,3,0.786,73,57,19,40.758701,-111.876183
Utah State,UT,"25,513",-3.4,79,7,6,0.538,84,56,8,41.73698,-111.833836
Vanderbilt,TN,"40,350",-7.6,94,3,9,0.250,82,68,12,36.174465,-86.76796
Virginia,VA,"61,500",6.6,42,9,5,0.643,74,69,12,38.033554,-78.50798
Virginia Tech,VA,"66,233",4.5,48,8,5,0.615,78,62,16,37.229572,-80.41394
Wake Forest,NC,"31,500",2.9,53,8,5,0.615,86,77,8,36.099861,-80.244217
Washington,WA,"70,500",14.5,16,8,5,0.615,74,66,28,47.655548,-122.3032
Washington State,WA,"32,248",7.9,31,6,7,0.462,57,51,7,46.7326,-117.1718
West Virginia,WV,"60,000",-1.5,68,5,7,0.417,80,61,15,39.629524,-79.955894
Western Kentucky,KY,"22,113",-2.6,74,9,4,0.692,72,59,6,36.918682,-86.436348
Western Michigan,MI,"30,200",-1,67,7,6,0.538,68,58,5,42.29171,-85.58723
Wisconsin,WI,"80,321",21.3,8,10,4,0.714,72,57,25,43.073051,-89.40123
Wyoming,WY,"29,181",-0.6,66,8,5,0.615,65,48,13,41.3114,-105.5911
