School,State,Capacity,W,L,Pct,AP Rank,GSR,FGR
Utah,UT,"47,825",7,6,0.538,,73,57
Utah State,UT,"25,513",6,7,0.462,,84,56
Vanderbilt,TN,"40,350",5,7,0.417,,82,68
Virginia,VA,"61,500",6,7,0.462,,74,69
Virginia Tech,VA,"66,233",9,4,0.692,24,78,62
Wake Forest,NC,"31,500",8,5,0.615,,86,77
Washington,WA,"70,500",10,3,0.769,16,74,66
Washington State,WA,"32,248",9,4,0.692,,57,51
West Virginia,WV,"60,000",7,6,0.538,,80,61
Western Kentucky,KY,"22,113",6,7,0.462,,72,59
Western Michigan,MI,"30,200",6,6,0.5,,68,58
Wisconsin,WI,"80,321",13,1,0.929,7,72,57
Wyoming,WY,"29,181",8,5,0.615,,65,48
